approveDate,articleID,articleWordCount,commentID,commentType,createDate,depth,editorsSelection,inReplyTo,parentUserDisplayName,recommendations,sectionName,userDisplayName,userID,userLocation,,,,,,,,,,,,,,,,,,,
1514816489,5a4980f57c459f246b63d649,783,25390661,comment,1514814908,1,False,0,,0,Unknown,Mickey,61543613,"Princeton, NJ",,,,,,,,,,,,,,,,,,,
1514816460,5a4980f57c459f246b63d649,783,25390670,comment,1514815059,1,False,0,,25,Unknown,mary,57945213,connecticut,,,,,,,,,,,,,,,,,,,
1514816457,5a4980f57c459f246b63d649,783,25390674,comment,1514815119,1,False,0,,4,Unknown,Michael,78142687,"Jacksonville, FL",,,,,,,,,,,,,,,,,,,
1514821709,5a49915f7c459f246b63d661,809,25390675,comment,1514815124,1,False,0,,2,Unknown,Tony,49941278,Austin,,,,,,,,,,,,,,,,,,,
1514817149,5a49915f7c459f246b63d661,809,25390676,comment,1514815128,1,False,0,,22,Unknown,Ruth,55553977,Johnstown NY,,,,,,,,,,,,,,,,,,,
1514817210,5a49915f7c459f246b63d661,809,25390678,comment,1514815147,1,False,0,,189,Unknown,John Q,36129071,"N.Y., N.Y.",,,,,,,,,,,,,,,,,,,
1514817175,5a49915f7c459f246b63d661,809,25390684,comment,1514815209,1,False,0,,4,Unknown,Crystal Nipp,74831566,Wisconsin,,,,,,,,,,,,,,,,,,,
1514816462,5a4980f57c459f246b63d649,783,25390685,comment,1514815224,1,False,0,,11,Unknown,Nancy Braus,79433397,Putney. VT,,,,,,,,,,,,,,,,,,,
1514816491,5a4980f57c459f246b63d649,783,25390686,comment,1514815248,1,False,0,,23,Unknown,Anne Dunn,63818794,"Clinton, New York",,,,,,,,,,,,,,,,,,,
1514821710,5a49915f7c459f246b63d661,809,25390690,comment,1514815336,1,False,0,,1,Unknown,Vincenzo,17940558,"Albuquerque, NM, USA",,,,,,,,,,,,,,,,,,,
1514815529,5a4a06d17c459f246b63d6b9,399,25390698,comment,1514815528,1,False,0,,8,Unknown,AS,73387469,New Jersey,,,,,,,,,,,,,,,,,,,
1514816457,5a4980f57c459f246b63d649,783,25390701,comment,1514815569,1,False,0,,13,Unknown,Sam,75269420,MA,,,,,,,,,,,,,,,,,,,
1514816487,5a4980f57c459f246b63d649,783,25390705,comment,1514815604,1,False,0,,0,Unknown,Liberty hound,60773880,Washington,,,,,,,,,,,,,,,,,,,
1514817179,5a49915f7c459f246b63d661,809,25390709,comment,1514815629,1,False,0,,1,Unknown,JC,64795388,Oregon,,,,,,,,,,,,,,,,,,,
1514823838,5a49915f7c459f246b63d661,809,25390714,comment,1514815716,1,False,0,,6,Unknown,Sari,67222984,AZ,,,,,,,,,,,,,,,,,,,
1514815733,5a49915f7c459f246b63d661,809,25390715,userReply,1514815728,2,False,25390386,walterhett,26,Unknown,walterhett,33605332,"Charleston, SC",,,,,,,,,,,,,,,,,,,
1514817145,5a49915f7c459f246b63d661,809,25390719,comment,1514815768,1,False,0,,3,Unknown,M.M.,1166782,"Austin, TX",,,,,,,,,,,,,,,,,,,
1514815873,5a49915f7c459f246b63d661,809,25390721,comment,1514815863,1,False,0,,4,Unknown,Realist,61122968,Suburbia,,,,,,,,,,,,,,,,,,,
1514817175,5a49915f7c459f246b63d661,809,25390724,comment,1514815903,1,False,0,,9,Unknown,WDG,64552236,"Madison, Ct",,,,,,,,,,,,,,,,,,,
1514821735,5a49915f7c459f246b63d661,809,25390727,comment,1514815928,1,False,0,,3,Unknown,Atikin,42157767,"Yankee, recently escaped from N.C.",,,,,,,,,,,,,,,,,,,
1514822328,5a4980f57c459f246b63d649,783,25390733,comment,1514816025,1,False,0,,1,Unknown,Allen82,19512506,Mississippi,,,,,,,,,,,,,,,,,,,
1514822324,5a4980f57c459f246b63d649,783,25390735,comment,1514816030,1,False,0,,0,Unknown,Crossing Overhead,62573577,In The Air,,,,,,,,,,,,,,,,,,,
1514817149,5a49915f7c459f246b63d661,809,25390743,comment,1514816179,1,False,0,,0,Unknown,ACJ,33241678,Chicago,,,,,,,,,,,,,,,,,,,
1514819345,5a4980f57c459f246b63d649,783,25390744,comment,1514816205,1,False,0,,18,Unknown,Manuel Soto,62390995,"Columbus, Ohio",,,,,,,,,,,,,,,,,,,
1514822333,5a4980f57c459f246b63d649,783,25390745,comment,1514816222,1,False,0,,5,Unknown,Dave,66417248,"Rockville, MD",,,,,,,,,,,,,,,,,,,
1514822333,5a4980f57c459f246b63d649,783,25390746,comment,1514816246,1,False,0,,2,Unknown,Knucklehead,72691272,Charleston SC,,,,,,,,,,,,,,,,,,,
1514822356,5a4980f57c459f246b63d649,783,25390748,comment,1514816264,1,False,0,,0,Unknown,Steve,74604008,Long Island,,,,,,,,,,,,,,,,,,,
1514817144,5a49915f7c459f246b63d661,809,25390749,comment,1514816267,1,False,0,,9,Unknown,Dennis Scanlon,78604191,Minnesota,,,,,,,,,,,,,,,,,,,
1514827323,5a4980f57c459f246b63d649,783,25390751,comment,1514816298,1,False,0,,5,Unknown,what is,79160086,california,,,,,,,,,,,,,,,,,,,
